[INFO] [2023-08-01 09:37:28,951] [Extractor]: Archivo datos_basicos.json descargado de Cloud Storage con éxito
[INFO] [2023-08-01 09:37:29,036] [Extractor]: Archivo datos_basicos.json convertido a df
[INFO] [2023-08-01 09:37:30,434] [Extractor]: Archivo datos_contratos.json descargado de Cloud Storage con éxito
[INFO] [2023-08-01 09:37:30,466] [Extractor]: Archivo datos_contratos.json convertido a df
[INFO] [2023-08-01 09:49:18,550] [Extractor]: Archivo datos_basicos.json descargado de Cloud Storage con éxito
[INFO] [2023-08-01 09:49:18,603] [Extractor]: Archivo datos_basicos.json convertido a df
[INFO] [2023-08-01 09:49:19,947] [Extractor]: Archivo datos_contratos.json descargado de Cloud Storage con éxito
[INFO] [2023-08-01 09:49:19,969] [Extractor]: Archivo datos_contratos.json convertido a df
[INFO] [2023-08-01 09:49:19,988] [Quality]: La columna bpin tiene únicos
[INFO] [2023-08-01 09:50:30,486] [Extractor]: Archivo datos_basicos.json descargado de Cloud Storage con éxito
[INFO] [2023-08-01 09:50:30,518] [Extractor]: Archivo datos_basicos.json convertido a df
[INFO] [2023-08-01 09:50:31,766] [Extractor]: Archivo datos_contratos.json descargado de Cloud Storage con éxito
[INFO] [2023-08-01 09:50:31,787] [Extractor]: Archivo datos_contratos.json convertido a df
[INFO] [2023-08-01 09:50:31,787] [Quality]: La columna bpin tiene únicos
[INFO] [2023-08-01 09:52:08,790] [Extractor]: Archivo datos_basicos.json descargado de Cloud Storage con éxito
[INFO] [2023-08-01 09:52:08,832] [Extractor]: Archivo datos_basicos.json convertido a df
[INFO] [2023-08-01 09:52:10,069] [Extractor]: Archivo datos_contratos.json descargado de Cloud Storage con éxito
[INFO] [2023-08-01 09:52:10,102] [Extractor]: Archivo datos_contratos.json convertido a df
[INFO] [2023-08-01 09:52:10,102] [Quality]: La columna bpin tiene únicos
[INFO] [2023-08-01 10:02:23,851] [Extractor]: Archivo datos_basicos.json descargado de Cloud Storage con éxito
[INFO] [2023-08-01 10:02:23,883] [Extractor]: Archivo datos_basicos.json convertido a df
[INFO] [2023-08-01 10:02:25,493] [Extractor]: Archivo datos_contratos.json descargado de Cloud Storage con éxito
